qubix_sku,meridian_article,match_confidence,matched_on
QX-TIN-298,AV-98675,0.69,2025-11-13
QX-CHL-299,AV-98682,0.89,2025-06-09
QX-BWS-300,AV-98689,0.63,2026-01-05
QX-HBC-303,AV-98696,0.76,2025-07-06
QX-DRY-305,AV-98703,0.68,2025-09-30
QX-HBC-307,AV-98710,0.71,2025-12-14
QX-HHD-308,AV-98717,0.64,2025-08-25
QX-BWS-311,AV-98724,0.80,2024-12-27
QX-PRO-315,AV-98731,0.83,2025-06-03
QX-BAK-316,AV-98738,0.93,2025-11-21
QX-TIN-317,AV-98745,0.90,2025-12-12
QX-BWS-319,AV-98752,0.65,2025-08-21
QX-PRO-320,AV-98745,0.97,2025-04-11
QX-BAK-321,AV-98759,0.98,2025-07-20
QX-PET-322,AV-98766,0.69,2024-10-12
QX-PET-323,AV-98773,0.73,2025-11-26
QX-DRY-324,AV-98780,0.78,2025-07-09
QX-DRK-327,AV-98787,0.81,2025-06-23
QX-CHL-328,AV-98794,0.70,2025-10-20
QX-HBC-329,AV-98801,0.91,2025-07-26
QX-DRK-330,AV-98808,0.87,2025-11-13
QX-TIN-332,AV-98815,0.80,2025-09-19
QX-BWS-333,AV-98822,0.65,2024-12-31
QX-PET-335,AV-98829,0.64,2025-08-20
QX-CHL-336,AV-98822,0.78,2025-12-10
QX-CER-337,AV-98836,0.84,2025-05-02
QX-DRK-338,AV-98829,0.84,2025-07-08
QX-BAK-339,AV-98843,0.75,2025-12-15
QX-PRO-341,AV-98850,0.74,2025-06-13
QX-BWS-343,AV-98857,0.64,2025-05-18
QX-HBC-345,AV-98864,0.73,2024-07-13
QX-BAK-347,AV-98871,0.90,2026-02-19
QX-DRY-348,AV-98878,0.67,2025-07-23
QX-BWS-350,AV-98885,0.71,2024-07-11
QX-TIN-353,AV-98892,0.87,2024-06-22
QX-CHL-354,AV-98885,0.62,2024-09-22
QX-TIN-355,AV-98899,0.93,2025-06-16
QX-DRK-356,AV-98906,0.70,2024-11-01
QX-HBC-357,AV-98913,0.70,2024-05-28
QX-DRY-358,AV-98920,0.73,2024-08-28
QX-FRZ-359,AV-98927,0.88,2024-09-24
QX-DRY-361,AV-98934,0.87,2026-01-22
QX-PET-362,AV-98941,0.83,2025-03-22
QX-HHD-364,AV-98948,0.65,2024-06-08
QX-DRY-365,AV-98955,0.86,2025-08-19
QX-DRY-366,AV-98962,0.82,2024-12-05
QX-FRZ-368,AV-98969,0.66,2025-01-05
QX-CER-369,AV-98976,0.97,2025-03-09
QX-TIN-370,AV-98983,0.83,2026-01-24
QX-CER-371,AV-98976,0.69,2024-08-18
QX-PRO-373,AV-98990,0.85,2024-06-02
QX-DRK-376,AV-98997,0.76,2025-07-21
QX-HHD-377,AV-99004,0.64,2024-08-13
QX-DRK-380,AV-99011,0.72,2025-12-29
QX-BWS-381,AV-99018,0.62,2025-01-27
QX-CER-384,AV-99011,0.77,2025-09-03
QX-CER-386,AV-99025,0.67,2024-10-20
QX-CHL-389,AV-99032,0.70,2024-10-10
QX-DRK-390,AV-99039,0.88,2026-02-07
QX-CHL-391,AV-99046,0.69,2024-06-22
QX-CER-392,AV-99053,0.81,2024-05-21
QX-DRK-393,AV-99060,0.68,2025-03-28
QX-BWS-397,AV-99067,0.77,2024-10-05
QX-DRY-400,AV-99074,0.98,2025-04-15
QX-DRY-401,AV-99081,0.88,2025-11-15
QX-DRK-402,AV-99088,0.94,2025-11-19
QX-CER-403,AV-99095,0.71,2025-04-30
QX-BAK-404,AV-99102,0.86,2024-09-07
QX-CHL-405,AV-99109,0.71,2025-05-01
QX-DRK-406,AV-99102,0.92,2024-10-08
QX-HBC-407,AV-99116,0.73,2025-06-21
QX-BAK-408,AV-99123,0.73,2025-08-26
QX-PET-410,AV-99130,0.99,2025-10-19
QX-BAK-411,AV-99137,0.84,2025-04-10
QX-PRO-412,AV-99144,0.95,2026-01-17
QX-CHL-413,AV-99151,0.87,2026-01-23
QX-BAK-414,AV-99158,0.79,2025-04-12
QX-DRY-415,AV-99165,0.65,2025-12-18
QX-TIN-417,AV-99172,0.62,2024-07-19
QX-PRO-418,AV-99179,0.83,2024-06-03
QX-PET-420,AV-99186,0.71,2024-08-03
QX-HHD-422,AV-99193,0.71,2024-09-15
QX-BWS-424,AV-99200,0.63,2025-07-15
QX-CHL-426,AV-99207,0.81,2024-11-23
QX-BWS-428,AV-99200,0.85,2025-03-09
QX-DRY-429,AV-99214,0.74,2024-12-30
QX-HBC-430,AV-99221,0.66,2026-01-15
QX-PET-431,AV-99228,0.71,2024-12-14
QX-PET-432,AV-99235,0.84,2025-01-01
QX-TIN-434,AV-99242,0.92,2026-02-23
QX-CER-436,AV-99249,0.69,2025-01-13
QX-TIN-437,AV-99256,0.68,2025-04-08
QX-CER-438,AV-99263,0.98,2025-10-08
QX-CHL-439,AV-99256,0.78,2025-06-13
QX-CHL-440,AV-99270,0.92,2025-11-17
QX-DRY-441,AV-99277,0.82,2025-10-29
QX-DRY-442,AV-99284,0.64,2025-10-28
QX-FRZ-443,AV-99291,0.98,2025-04-05
QX-CER-447,AV-99298,0.76,2024-05-19
QX-CHL-448,AV-99305,0.71,2025-04-01
QX-BAK-449,AV-99312,0.73,2024-07-13
QX-CER-451,AV-99319,0.77,2025-11-11
QX-DRY-452,AV-99326,0.80,2025-07-08
